"date","home.team","home.score","away.team","away.score"
"2018-09-30","Ein Frankfurt",4,"Hannover",1
"2018-10-05","Werder Bremen",2,"Wolfsburg",0
"2018-10-06","Bayern Munich",0,"M'gladbach",3
"2018-10-06","Dortmund",4,"Augsburg",3
"2018-10-06","Fortuna Dusseldorf",0,"Schalke 04",2
"2018-10-06","Hannover",3,"Stuttgart",1
"2018-10-06","Mainz",0,"Hertha",0
"2018-10-07","Freiburg",0,"Leverkusen",0
"2018-10-07","Hoffenheim",1,"Ein Frankfurt",2
"2018-10-07","RB Leipzig",6,"Nurnberg",0
"2018-10-19","Ein Frankfurt",7,"Fortuna Dusseldorf",1
"2018-10-20","Augsburg",0,"RB Leipzig",0
"2018-10-20","Leverkusen",2,"Hannover",2
"2018-10-20","Nurnberg",1,"Hoffenheim",3
"2018-10-20","Schalke 04",0,"Werder Bremen",2
"2018-10-20","Stuttgart",0,"Dortmund",4
"2018-10-20","Wolfsburg",1,"Bayern Munich",3
"2018-10-21","Hertha",1,"Freiburg",1
"2018-10-21","M'gladbach",4,"Mainz",0
"2018-10-26","Freiburg",3,"M'gladbach",1
"2018-10-27","Dortmund",2,"Hertha",2
"2018-10-27","Fortuna Dusseldorf",0,"Wolfsburg",3
"2018-10-27","Hannover",1,"Augsburg",2
"2018-10-27","Hoffenheim",4,"Stuttgart",0
"2018-10-27","Mainz",1,"Bayern Munich",2
"2018-10-28","Nurnberg",1,"Ein Frankfurt",1
"2018-10-28","RB Leipzig",0,"Schalke 04",0
"2018-10-28","Werder Bremen",2,"Leverkusen",6
"2018-11-02","Stuttgart",0,"Ein Frankfurt",3
"2018-11-03","Augsburg",2,"Nurnberg",2
"2018-11-03","Bayern Munich",1,"Freiburg",1
"2018-11-03","Hertha",0,"RB Leipzig",3
"2018-11-03","Leverkusen",1,"Hoffenheim",4
"2018-11-03","Schalke 04",3,"Hannover",1
"2018-11-03","Wolfsburg",0,"Dortmund",1
"2018-11-04","Mainz",2,"Werder Bremen",1
"2018-11-04","M'gladbach",3,"Fortuna Dusseldorf",0
"2018-11-09","Hannover",2,"Wolfsburg",1
"2018-11-10","Dortmund",3,"Bayern Munich",2
"2018-11-10","Fortuna Dusseldorf",4,"Hertha",1
"2018-11-10","Freiburg",1,"Mainz",3
"2018-11-10","Hoffenheim",2,"Augsburg",1
"2018-11-10","Nurnberg",0,"Stuttgart",2
"2018-11-10","Werder Bremen",1,"M'gladbach",3
"2018-11-11","Ein Frankfurt",3,"Schalke 04",0
"2018-11-11","RB Leipzig",3,"Leverkusen",0
"2018-11-23","Leverkusen",2,"Stuttgart",0
"2018-11-24","Augsburg",1,"Ein Frankfurt",3
"2018-11-24","Bayern Munich",3,"Fortuna Dusseldorf",3
"2018-11-24","Hertha",3,"Hoffenheim",3
"2018-11-24","Mainz",1,"Dortmund",2
"2018-11-24","Schalke 04",5,"Nurnberg",2
"2018-11-24","Wolfsburg",1,"RB Leipzig",0
"2018-11-25","Freiburg",1,"Werder Bremen",1
"2018-11-25","M'gladbach",4,"Hannover",1
"2018-11-30","Fortuna Dusseldorf",0,"Mainz",1
"2018-12-01","Dortmund",2,"Freiburg",0
"2018-12-01","Hannover",0,"Hertha",2
"2018-12-01","Hoffenheim",1,"Schalke 04",1
"2018-12-01","Stuttgart",1,"Augsburg",0
"2018-12-01","Werder Bremen",1,"Bayern Munich",2
"2018-12-02","Ein Frankfurt",1,"Wolfsburg",2
"2018-12-02","RB Leipzig",2,"M'gladbach",0
"2018-12-03","Nurnberg",1,"Leverkusen",1
"2018-12-07","Werder Bremen",3,"Fortuna Dusseldorf",1
"2018-12-08","Bayern Munich",3,"Nurnberg",0
"2018-12-08","Freiburg",3,"RB Leipzig",0
"2018-12-08","Hertha",1,"Ein Frankfurt",0
"2018-12-08","Leverkusen",1,"Augsburg",0
"2018-12-08","Schalke 04",1,"Dortmund",2
"2018-12-08","Wolfsburg",2,"Hoffenheim",2
"2018-12-09","Mainz",1,"Hannover",1
"2018-12-09","M'gladbach",3,"Stuttgart",0
"2018-12-14","Nurnberg",0,"Wolfsburg",2
"2018-12-15","Augsburg",1,"Schalke 04",1
"2018-12-15","Dortmund",2,"Werder Bremen",1
"2018-12-15","Fortuna Dusseldorf",2,"Freiburg",0
"2018-12-15","Hannover",0,"Bayern Munich",4
"2018-12-15","Hoffenheim",0,"M'gladbach",0
"2018-12-15","Stuttgart",2,"Hertha",1
"2018-12-16","Ein Frankfurt",2,"Leverkusen",1
"2018-12-16","RB Leipzig",4,"Mainz",1
"2018-12-18","Fortuna Dusseldorf",2,"Dortmund",1
"2018-12-18","Hertha",2,"Augsburg",2
"2018-12-18","M'gladbach",2,"Nurnberg",0
"2018-12-18","Wolfsburg",2,"Stuttgart",0
"2018-12-19","Bayern Munich",1,"RB Leipzig",0
"2018-12-19","Freiburg",1,"Hannover",1
"2018-12-19","Mainz",2,"Ein Frankfurt",2
"2018-12-19","Schalke 04",1,"Leverkusen",2
"2018-12-19","Werder Bremen",1,"Hoffenheim",1
"2018-12-21","Dortmund",2,"M'gladbach",1
"2018-12-22","Ein Frankfurt",0,"Bayern Munich",3
"2018-12-22","Hannover",0,"Fortuna Dusseldorf",1
"2018-12-22","Leverkusen",3,"Hertha",1
"2018-12-22","Nurnberg",0,"Freiburg",1
"2018-12-22","RB Leipzig",3,"Werder Bremen",2
"2018-12-22","Stuttgart",1,"Schalke 04",3
"2018-12-23","Augsburg",2,"Wolfsburg",3
"2018-12-23","Hoffenheim",1,"Mainz",1
"2019-01-18","Hoffenheim",1,"Bayern Munich",3
"2019-01-19","Augsburg",1,"Fortuna Dusseldorf",2
"2019-01-19","Ein Frankfurt",3,"Freiburg",1
"2019-01-19","Hannover",0,"Werder Bremen",1
"2019-01-19","Leverkusen",0,"M'gladbach",1
"2019-01-19","RB Leipzig",0,"Dortmund",1
"2019-01-19","Stuttgart",2,"Mainz",3
"2019-01-20","Nurnberg",1,"Hertha",3
"2019-01-20","Schalke 04",2,"Wolfsburg",1
"2019-01-25","Hertha",2,"Schalke 04",2
"2019-01-26","Dortmund",5,"Hannover",1
"2019-01-26","Freiburg",2,"Hoffenheim",4
"2019-01-26","Mainz",2,"Nurnberg",1
"2019-01-26","M'gladbach",2,"Augsburg",0
"2019-01-26","Werder Bremen",2,"Ein Frankfurt",2
"2019-01-26","Wolfsburg",0,"Leverkusen",3
"2019-01-27","Bayern Munich",4,"Stuttgart",1
"2019-01-27","Fortuna Dusseldorf",0,"RB Leipzig",4
"2019-02-01","Hannover",0,"RB Leipzig",3
"2019-02-02","Ein Frankfurt",1,"Dortmund",1
"2019-02-02","Hertha",0,"Wolfsburg",1
"2019-02-02","Hoffenheim",1,"Fortuna Dusseldorf",1
"2019-02-02","Leverkusen",3,"Bayern Munich",1
"2019-02-02","Nurnberg",1,"Werder Bremen",1
"2019-02-02","Schalke 04",0,"M'gladbach",2
"2019-02-03","Augsburg",3,"Mainz",0
"2019-02-03","Stuttgart",2,"Freiburg",2
"2019-02-08","Mainz",1,"Leverkusen",5
"2019-02-09","Bayern Munich",3,"Schalke 04",1
"2019-02-09","Dortmund",3,"Hoffenheim",3
"2019-02-09","Freiburg",3,"Wolfsburg",3
"2019-02-09","Hannover",2,"Nurnberg",0
"2019-02-09","M'gladbach",0,"Hertha",3
"2019-02-09","RB Leipzig",0,"Ein Frankfurt",0
"2019-02-10","Fortuna Dusseldorf",3,"Stuttgart",0
"2019-02-10","Werder Bremen",4,"Augsburg",0
"2019-02-15","Augsburg",2,"Bayern Munich",3
"2019-02-16","Hertha",1,"Werder Bremen",1
"2019-02-16","Hoffenheim",3,"Hannover",0
"2019-02-16","Schalke 04",0,"Freiburg",0
"2019-02-16","Stuttgart",1,"RB Leipzig",3
"2019-02-16","Wolfsburg",3,"Mainz",0
"2019-02-17","Ein Frankfurt",1,"M'gladbach",1
"2019-02-17","Leverkusen",2,"Fortuna Dusseldorf",0
"2019-02-18","Nurnberg",0,"Dortmund",0
"2019-02-22","Werder Bremen",1,"Stuttgart",1
"2019-02-23","Bayern Munich",1,"Hertha",0
"2019-02-23","Fortuna Dusseldorf",2,"Nurnberg",1
"2019-02-23","Freiburg",5,"Augsburg",1
"2019-02-23","Mainz",3,"Schalke 04",0
"2019-02-23","M'gladbach",0,"Wolfsburg",3
"2019-02-24","Dortmund",3,"Leverkusen",2
"2019-02-24","Hannover",0,"Ein Frankfurt",3
"2019-02-25","RB Leipzig",1,"Hoffenheim",1
"2019-03-01","Augsburg",2,"Dortmund",1
